Label   18.70   23.60   25.50  126.30  131.70  138.40  150.20  116.90  123.60   26.10
   C1  58.91%  30.21%  10.88%   0.00%   0.00%   0.00%   0.00%   0.00%   0.00%   0.00%
   C2   0.00%   0.00%   0.00%   0.08%   1.42%  97.58%   0.91%   0.00%   0.00%   0.00%
   C3   0.00%   0.00%   0.00%   0.28%   0.00%   0.00%   0.00%  96.31%   3.41%   0.00%
   C4   0.00%   0.00%   0.00%   0.00%   0.00%   0.92%  99.08%   0.00%   0.00%   0.00%
   C5   0.00%   0.00%   0.00%  17.52%  20.85%   1.17%   0.00%   3.57%  56.89%   0.00%
   C6   0.00%   0.00%   0.00%  29.11%  40.84%   0.33%   0.00%   0.13%  29.60%   0.00%
   C7   0.00%   0.00%   0.00%  53.01%  36.89%   0.00%   0.00%   0.00%  10.10%   0.00%
   C8   0.02%   6.20%  34.51%   0.00%   0.00%   0.00%   0.00%   0.00%   0.00%  59.27%

 Label 18.70/23.60 18.70/25.50 18.70/26.10 23.60/25.50 23.60/26.10 25.50/26.10
C9/C10       9.46%      17.83%      13.77%      31.97%      22.16%       4.80%

