 Label   18.70   23.60   25.50   26.10  116.90  123.60  126.30  131.70  138.40  150.20
    C1  95.72%   3.60%   0.46%   0.22%   0.00%   0.00%   0.00%   0.00%   0.00%   0.00%
    C2   0.00%   0.00%   0.00%   0.00%   0.00%   0.10%   0.55%   8.48%  80.85%  10.02%
    C3   0.00%   0.00%   0.00%   0.00%  84.84%  12.21%   2.90%   0.05%   0.00%   0.00%
    C4   0.00%   0.00%   0.00%   0.00%   0.00%   0.00%   0.02%   0.40%   6.24%  93.33%
    C5   0.00%   0.00%   0.00%   0.00%  19.98%  32.84%  28.47%  13.70%   4.39%   0.62%
    C6   0.00%   0.00%   0.00%   0.00%   3.74%  43.50%  36.08%  14.62%   1.74%   0.31%
    C7   0.00%   0.00%   0.00%   0.00%  65.29%  31.70%   3.01%   0.00%   0.00%   0.00%
    C8   7.13%  27.40%  32.64%  32.83%   0.00%   0.00%   0.00%   0.00%   0.00%   0.00%
C9/C10  94.07%   3.04%   1.52%   1.36%   0.00%   0.00%   0.00%   0.00%   0.00%   0.00%
